Country,Year
USA,1896
GRE,1896
GER,1896
FRA,1896
GBR,1896
HUN,1896
AUT,1896
AUS,1896
DEN,1896
SUI,1896
ZZX,1896
BEL,1900
ITA,1900
CUB,1900
CAN,1900
ESP,1900
SWE,1908
NOR,1908
ANZ,1908
RU1,1908
FIN,1908
RSA,1908
NED,1920
EST,1920
BRA,1920
YUG,1924
TCH,1924
ARG,1924
URU,1924
JPN,1928
EGY,1928
POL,1928
IND,1928
IRL,1928
NZL,1928
TUR,1936
MEX,1948
JAM,1948
PER,1948
URS,1952
ROU,1952
LUX,1952
EUA,1956
IRI,1956
BUL,1956
PAK,1960
ETH,1960
BAH,1964
GDR,1968
FRG,1968
KEN,1968
TUN,1968
VEN,1968
PRK,1972
UGA,1972
KOR,1976
TRI,1976
ZIM,1980
CHN,1984
MAR,1984
POR,1984
SUR,1988
EUN,1992
INA,1992
ALG,1992
LTU,1992
RUS,1996
UKR,1996
CZE,1996
KAZ,1996
NGR,1996
BLR,1996
SVK,1996
ARM,1996
CRO,1996
THA,1996
BDI,1996
CRC,1996
ECU,1996
HKG,1996
SYR,1996
AZE,2000
SLO,2000
UZB,2000
LAT,2000
CMR,2000
COL,2000
MOZ,2000
TPE,2004
GEO,2004
CHI,2004
ISR,2004
DOM,2004
UAE,2004
MGL,2008
TTO,2008
PAN,2008
SRB,2012
BRN,2012
GRN,2012
VIE,2016
IOA,2016
CIV,2016
FIJ,2016
JOR,2016
KOS,2016
PUR,2016
SIN,2016
TJK,2016
